,№,Страна,2018,2019,в %
0,1.0,Китай,71661,75034,278.0
1,2.0,США,44574,44013,163.0
2,3.0,Индия,15514,15587,58.0
3,4.0,Россия,11092,11181,41.0
4,5.0,Япония,10562,10363,38.0
5,6.0,Канада,6523,6604,24.0
6,7.0,Бразилия,6014,6256,23.0
7,8.0,Германия,6435,6124,23.0
8,9.0,Республика Корея,5934,5847,22.0
9,10.0,Франция,5742,5554,21.0
10,11.0,Саудовская Аравия,3592,3544,13.0
11,12.0,Великобритания,3329,3237,12.0
12,13.0,Иран,3144,3187,12.0
13,14.0,Турция,3048,3085,11.0
14,15.0,Италия,2897,2838,11.0
15,16.0,Индонезия,2671,2791,10.0
16,17.0,Испания,2745,2758,10.0
17,18.0,Китайская Республика (Тайвань),2756,2742,10.0
18,19.0,Австралия,2631,2651,10.0
19,20.0,ЮАР,2563,2526,9.0
20,21.0,Вьетнам,2092,2274,8.0
21,22.0,Египет,1994,2006,7.0
22,23.0,Таиланд,1776,1865,7.0
23,24.0,Малайзия,1673,1710,6.0
24,25.0,Швеция,1634,1698,6.0
25,26.0,Польша,1700,1639,6.0
26,27.0,Украина (подробнее),1599,1545,6.0
27,28.0,Аргентина,1468,1399,5.0
28,29.0,ОАЭ,1360,1381,5.0
29,30.0,Пакистан,1360,1363,5.0
30,31.0,Норвегия,1471,1348,5.0
31,32.0,Ирак,999,1315,5.0
32,33.0,Нидерланды,1145,1210,4.0
33,34.0,Казахстан,1073,1084,4.0
34,35.0,Филиппины,998,1058,4.0
35,36.0,Бельгия,749,936,3.0
36,37.0,Бангладеш,811,897,3.0
37,38.0,Чехия,880,870,3.0
38,39.0,Венесуэла,1051,849,3.0
39,40.0,Чили,823,839,3.0
40,41.0,Алжир,767,813,3.0
41,42.0,Колумбия,783,752,3.0
42,43.0,Кувейт,742,750,3.0
43,44.0,Австрия,680,734,3.0
44,45.0,Израиль,690,718,3.0
45,46.0,Финляндия,702,687,3.0
46,47.0,Швейцария,694,683,3.0
47,48.0,Узбекистан,629,629,2.0
48,49.0,Румыния,648,595,2.0
49,50.0,Перу,549,573,2.0
50,51.0,Сингапур,529,541,2.0
51,52.0,Португалия,596,537,2.0
52,53.0,Греция,533,502,2.0
53,54.0,Катар,479,486,2.0
54,55.0,Новая Зеландия,442,446,2.0
55,56.0,Белоруссия,389,404,1.0
56,57.0,Марокко,344,401,1.0
57,58.0,Оман,377,374,1.0
58,59.0,Гонконг,366,369,1.0
59,60.0,Венгрия,320,339,1.0
60,61.0,Эквадор,297,329,1.0
61,62.0,Азербайджан,252,263,1.0
62,63.0,Туркмения,242,257,1.0
63,64.0,Шри-Ланка,157,162,1.0
64,65.0,Тринидад и Тобаго,106,111,
65,,Всего в мире,266527,270047,100.0
66,,ОЭСР страны,112461,111360,412.0
67,,не ОЭСР страны,154066,158687,588.0
68,,Европейский союз,32701,32153,119.0
